Satellite,Epoch Time,Parameter,Value
G05,2025-03-11 12:00:00,SVclockBias,-0.000204220414162
G05,2025-03-11 12:00:00,SVclockDrift,-1.02318153949e-12
G05,2025-03-11 12:00:00,SVclockDriftRate,0.0
G05,2025-03-11 12:00:00,IODE,33.0
G05,2025-03-11 12:00:00,Crs,53.125
G05,2025-03-11 12:00:00,DeltaN,4.40411202037e-09
G05,2025-03-11 12:00:00,M0,-0.588327030891
G05,2025-03-11 12:00:00,Cuc,2.88896262646e-06
G05,2025-03-11 12:00:00,Eccentricity,0.0056094666943
G05,2025-03-11 12:00:00,Cus,2.55554914474e-06
G05,2025-03-11 12:00:00,sqrtA,5153.7617588
G05,2025-03-11 12:00:00,Toe,216000.0
G05,2025-03-11 12:00:00,Cic,-8.56816768646e-08
G05,2025-03-11 12:00:00,Omega0,-2.11533473344
G05,2025-03-11 12:00:00,Cis,5.77419996262e-08
G05,2025-03-11 12:00:00,Io,0.975242344541
G05,2025-03-11 12:00:00,Crc,338.15625
G05,2025-03-11 12:00:00,omega,1.31825731528
G05,2025-03-11 12:00:00,OmegaDot,-8.39463538454e-09
G05,2025-03-11 12:00:00,IDOT,3.25727853587e-10
G05,2025-03-11 12:00:00,CodesL2,1.0
G05,2025-03-11 12:00:00,GPSWeek,2357.0
G05,2025-03-11 12:00:00,L2Pflag,0.0
G05,2025-03-11 12:00:00,SVacc,2.0
G05,2025-03-11 12:00:00,health,0.0
G05,2025-03-11 12:00:00,TGD,-1.07102096081e-08
G05,2025-03-11 12:00:00,IODC,33.0
G05,2025-03-11 12:00:00,TransTime,208818.0
G05,2025-03-11 12:00:00,FitIntvl,4.0
G19,2025-03-11 12:00:00,SVclockBias,0.00060698762536
G19,2025-03-11 12:00:00,SVclockDrift,4.09272615798e-12
G19,2025-03-11 12:00:00,SVclockDriftRate,0.0
G19,2025-03-11 12:00:00,IODE,46.0
G19,2025-03-11 12:00:00,Crs,-24.71875
G19,2025-03-11 12:00:00,DeltaN,4.49483008486e-09
G19,2025-03-11 12:00:00,M0,0.95208461906
G19,2025-03-11 12:00:00,Cuc,-1.40257179737e-06
G19,2025-03-11 12:00:00,Eccentricity,0.0102399585303
G19,2025-03-11 12:00:00,Cus,8.77864658833e-06
G19,2025-03-11 12:00:00,sqrtA,5153.61568069
G19,2025-03-11 12:00:00,Toe,216000.0
G19,2025-03-11 12:00:00,Cic,2.57045030594e-07
G19,2025-03-11 12:00:00,Omega0,2.22514496471
G19,2025-03-11 12:00:00,Cis,1.30385160446e-08
G19,2025-03-11 12:00:00,Io,0.963579537367
G19,2025-03-11 12:00:00,Crc,209.5
G19,2025-03-11 12:00:00,omega,2.72402270936
G19,2025-03-11 12:00:00,OmegaDot,-8.00926218935e-09
G19,2025-03-11 12:00:00,IDOT,-7.1324399519e-10
G19,2025-03-11 12:00:00,CodesL2,1.0
G19,2025-03-11 12:00:00,GPSWeek,2357.0
G19,2025-03-11 12:00:00,L2Pflag,0.0
G19,2025-03-11 12:00:00,SVacc,2.0
G19,2025-03-11 12:00:00,health,0.0
G19,2025-03-11 12:00:00,TGD,-1.53668224812e-08
G19,2025-03-11 12:00:00,IODC,46.0
G19,2025-03-11 12:00:00,TransTime,208818.0
G19,2025-03-11 12:00:00,FitIntvl,4.0
G20,2025-03-11 11:59:44,SVclockBias,0.000365748535842
G20,2025-03-11 11:59:44,SVclockDrift,-2.27373675443e-13
G20,2025-03-11 11:59:44,SVclockDriftRate,0.0
G20,2025-03-11 11:59:44,IODE,17.0
G20,2025-03-11 11:59:44,Crs,76.5
G20,2025-03-11 11:59:44,DeltaN,4.71805366873e-09
G20,2025-03-11 11:59:44,M0,-2.65348105266
G20,2025-03-11 11:59:44,Cuc,3.99723649025e-06
G20,2025-03-11 11:59:44,Eccentricity,0.0036389984889
G20,2025-03-11 11:59:44,Cus,2.85916030407e-06
G20,2025-03-11 11:59:44,sqrtA,5153.72261047
G20,2025-03-11 11:59:44,Toe,215984.0
G20,2025-03-11 11:59:44,Cic,5.58793544769e-09
G20,2025-03-11 11:59:44,Omega0,-2.24918884258
G20,2025-03-11 11:59:44,Cis,-7.82310962677e-08
G20,2025-03-11 11:59:44,Io,0.957509534767
G20,2025-03-11 11:59:44,Crc,321.5
G20,2025-03-11 11:59:44,omega,-2.28413706457
G20,2025-03-11 11:59:44,OmegaDot,-8.40535011657e-09
G20,2025-03-11 11:59:44,IDOT,3.78587198248e-10
G20,2025-03-11 11:59:44,CodesL2,1.0
G20,2025-03-11 11:59:44,GPSWeek,2357.0
G20,2025-03-11 11:59:44,L2Pflag,0.0
G20,2025-03-11 11:59:44,SVacc,2.0
G20,2025-03-11 11:59:44,health,0.0
G20,2025-03-11 11:59:44,TGD,-8.38190317154e-09
G20,2025-03-11 11:59:44,IODC,17.0
G20,2025-03-11 11:59:44,TransTime,211356.0
G20,2025-03-11 11:59:44,FitIntvl,4.0
G17,2025-03-11 12:00:00,SVclockBias,0.000384395010769
G17,2025-03-11 12:00:00,SVclockDrift,-1.9213075575e-11
G17,2025-03-11 12:00:00,SVclockDriftRate,0.0
G17,2025-03-11 12:00:00,IODE,36.0
G17,2025-03-11 12:00:00,Crs,-19.03125
G17,2025-03-11 12:00:00,DeltaN,4.53376027789e-09
G17,2025-03-11 12:00:00,M0,-0.921899277971
G17,2025-03-11 12:00:00,Cuc,-1.03749334812e-06
G17,2025-03-11 12:00:00,Eccentricity,0.0131095936522
G17,2025-03-11 12:00:00,Cus,9.19215381145e-06
G17,2025-03-11 12:00:00,sqrtA,5153.64294052
G17,2025-03-11 12:00:00,Toe,216000.0
G17,2025-03-11 12:00:00,Cic,-1.60187482834e-07
G17,2025-03-11 12:00:00,Omega0,2.18098413314
G17,2025-03-11 12:00:00,Cis,-3.53902578354e-08
G17,2025-03-11 12:00:00,Io,0.964328067198
G17,2025-03-11 12:00:00,Crc,208.84375
G17,2025-03-11 12:00:00,omega,-1.22576279389
G17,2025-03-11 12:00:00,OmegaDot,-8.21784230612e-09
G17,2025-03-11 12:00:00,IDOT,-5.66095008701e-10
G17,2025-03-11 12:00:00,CodesL2,1.0
G17,2025-03-11 12:00:00,GPSWeek,2357.0
G17,2025-03-11 12:00:00,L2Pflag,0.0
G17,2025-03-11 12:00:00,SVacc,2.0
G17,2025-03-11 12:00:00,health,0.0
G17,2025-03-11 12:00:00,TGD,-1.07102096081e-08
G17,2025-03-11 12:00:00,IODC,36.0
G17,2025-03-11 12:00:00,TransTime,208818.0
G17,2025-03-11 12:00:00,FitIntvl,4.0
G12,2025-03-11 12:00:00,SVclockBias,-0.000574476551265
G12,2025-03-11 12:00:00,SVclockDrift,-1.93267624127e-12
G12,2025-03-11 12:00:00,SVclockDriftRate,0.0
G12,2025-03-11 12:00:00,IODE,40.0
G12,2025-03-11 12:00:00,Crs,23.59375
G12,2025-03-11 12:00:00,DeltaN,4.9391343062e-09
G12,2025-03-11 12:00:00,M0,1.83510461666
G12,2025-03-11 12:00:00,Cuc,8.99657607079e-07
G12,2025-03-11 12:00:00,Eccentricity,0.0090063001262
G12,2025-03-11 12:00:00,Cus,4.80189919472e-06
G12,2025-03-11 12:00:00,sqrtA,5153.71855354
G12,2025-03-11 12:00:00,Toe,216000.0
G12,2025-03-11 12:00:00,Cic,3.16649675369e-08
G12,2025-03-11 12:00:00,Omega0,1.14296474809
G12,2025-03-11 12:00:00,Cis,-1.89989805222e-07
G12,2025-03-11 12:00:00,Io,0.96043832602
G12,2025-03-11 12:00:00,Crc,282.96875
G12,2025-03-11 12:00:00,omega,1.48710828844
G12,2025-03-11 12:00:00,OmegaDot,-8.1821265327e-09
G12,2025-03-11 12:00:00,IDOT,9.85755346381e-11
G12,2025-03-11 12:00:00,CodesL2,1.0
G12,2025-03-11 12:00:00,GPSWeek,2357.0
G12,2025-03-11 12:00:00,L2Pflag,0.0
G12,2025-03-11 12:00:00,SVacc,2.0
G12,2025-03-11 12:00:00,health,0.0
G12,2025-03-11 12:00:00,TGD,-1.25728547573e-08
G12,2025-03-11 12:00:00,IODC,40.0
G12,2025-03-11 12:00:00,TransTime,208818.0
G12,2025-03-11 12:00:00,FitIntvl,4.0
G06,2025-03-11 11:59:44,SVclockBias,-0.000238880049437
G06,2025-03-11 11:59:44,SVclockDrift,-2.33058017329e-11
G06,2025-03-11 11:59:44,SVclockDriftRate,0.0
G06,2025-03-11 11:59:44,IODE,32.0
G06,2025-03-11 11:59:44,Crs,101.09375
G06,2025-03-11 11:59:44,DeltaN,3.56621997595e-09
G06,2025-03-11 11:59:44,M0,-2.97964271412
G06,2025-03-11 11:59:44,Cuc,5.17070293427e-06
G06,2025-03-11 11:59:44,Eccentricity,0.00346572382841
G06,2025-03-11 11:59:44,Cus,1.10398977995e-05
G06,2025-03-11 11:59:44,sqrtA,5153.80503845
G06,2025-03-11 11:59:44,Toe,215984.0
G06,2025-03-11 11:59:44,Cic,6.89178705215e-08
G06,2025-03-11 11:59:44,Omega0,-3.09551848171
G06,2025-03-11 11:59:44,Cis,5.58793544769e-09
G06,2025-03-11 11:59:44,Io,0.989380628543
G06,2025-03-11 11:59:44,Crc,183.15625
G06,2025-03-11 11:59:44,omega,-0.650472702296
G06,2025-03-11 11:59:44,OmegaDot,-7.53531387607e-09
G06,2025-03-11 11:59:44,IDOT,8.89322758148e-11
G06,2025-03-11 11:59:44,CodesL2,1.0
G06,2025-03-11 11:59:44,GPSWeek,2357.0
G06,2025-03-11 11:59:44,L2Pflag,0.0
G06,2025-03-11 11:59:44,SVacc,2.0
G06,2025-03-11 11:59:44,health,0.0
G06,2025-03-11 11:59:44,TGD,3.72529029846e-09
G06,2025-03-11 11:59:44,IODC,32.0
G06,2025-03-11 11:59:44,TransTime,208818.0
G06,2025-03-11 11:59:44,FitIntvl,4.0
G09,2025-03-11 11:59:44,SVclockBias,0.000595250632614
G09,2025-03-11 11:59:44,SVclockDrift,1.27329258248e-11
G09,2025-03-11 11:59:44,SVclockDriftRate,0.0
G09,2025-03-11 11:59:44,IODE,27.0
G09,2025-03-11 11:59:44,Crs,-116.71875
G09,2025-03-11 11:59:44,DeltaN,4.55804700381e-09
G09,2025-03-11 11:59:44,M0,-0.371680550604
G09,2025-03-11 11:59:44,Cuc,-6.31250441074e-06
G09,2025-03-11 11:59:44,Eccentricity,0.00302113208454
G09,2025-03-11 11:59:44,Cus,6.6701322794e-06
G09,2025-03-11 11:59:44,sqrtA,5153.75668716
G09,2025-03-11 11:59:44,Toe,215984.0
G09,2025-03-11 11:59:44,Cic,1.86264514923e-09
G09,2025-03-11 11:59:44,Omega0,-1.04590006477
G09,2025-03-11 11:59:44,Cis,1.11758708954e-08
G09,2025-03-11 11:59:44,Io,0.960893798249
G09,2025-03-11 11:59:44,Crc,250.0625
G09,2025-03-11 11:59:44,omega,2.02473064307
G09,2025-03-11 11:59:44,OmegaDot,-8.2792734364e-09
G09,2025-03-11 11:59:44,IDOT,-2.30723896291e-10
G09,2025-03-11 11:59:44,CodesL2,1.0
G09,2025-03-11 11:59:44,GPSWeek,2357.0
G09,2025-03-11 11:59:44,L2Pflag,0.0
G09,2025-03-11 11:59:44,SVacc,2.0
G09,2025-03-11 11:59:44,health,0.0
G09,2025-03-11 11:59:44,TGD,9.31322574615e-10
G09,2025-03-11 11:59:44,IODC,27.0
G09,2025-03-11 11:59:44,TransTime,208818.0
G09,2025-03-11 11:59:44,FitIntvl,4.0
G22,2025-03-11 12:00:00,SVclockBias,-9.97469760478e-05
G22,2025-03-11 12:00:00,SVclockDrift,-1.13686837722e-12
G22,2025-03-11 12:00:00,SVclockDriftRate,0.0
G22,2025-03-11 12:00:00,IODE,16.0
G22,2025-03-11 12:00:00,Crs,19.90625
G22,2025-03-11 12:00:00,DeltaN,5.1470001075e-09
G22,2025-03-11 12:00:00,M0,-0.415943395838
G22,2025-03-11 12:00:00,Cuc,1.09151005745e-06
G22,2025-03-11 12:00:00,Eccentricity,0.013264473062
G22,2025-03-11 12:00:00,Cus,4.98443841934e-06
G22,2025-03-11 12:00:00,sqrtA,5153.65690994
G22,2025-03-11 12:00:00,Toe,216000.0
G22,2025-03-11 12:00:00,Cic,-1.35973095894e-07
G22,2025-03-11 12:00:00,Omega0,1.16377555798
G22,2025-03-11 12:00:00,Cis,-1.08033418655e-07
G22,2025-03-11 12:00:00,Io,0.959119280082
G22,2025-03-11 12:00:00,Crc,284.90625
G22,2025-03-11 12:00:00,omega,-1.0663115346
G22,2025-03-11 12:00:00,OmegaDot,-8.57142846297e-09
G22,2025-03-11 12:00:00,IDOT,1.65006873199e-10
G22,2025-03-11 12:00:00,CodesL2,1.0
G22,2025-03-11 12:00:00,GPSWeek,2357.0
G22,2025-03-11 12:00:00,L2Pflag,0.0
G22,2025-03-11 12:00:00,SVacc,2.0
G22,2025-03-11 12:00:00,health,0.0
G22,2025-03-11 12:00:00,TGD,-1.11758708954e-08
G22,2025-03-11 12:00:00,IODC,16.0
G22,2025-03-11 12:00:00,TransTime,208818.0
G22,2025-03-11 12:00:00,FitIntvl,4.0
G13,2025-03-11 12:00:00,SVclockBias,0.000698405317962
G13,2025-03-11 12:00:00,SVclockDrift,7.95807864051e-13
G13,2025-03-11 12:00:00,SVclockDriftRate,0.0
G13,2025-03-11 12:00:00,IODE,21.0
G13,2025-03-11 12:00:00,Crs,-122.1875
G13,2025-03-11 12:00:00,DeltaN,4.23196199249e-09
G13,2025-03-11 12:00:00,M0,-1.17366084362
G13,2025-03-11 12:00:00,Cuc,-6.18025660515e-06
G13,2025-03-11 12:00:00,Eccentricity,0.00894376146607
G13,2025-03-11 12:00:00,Cus,7.8659504652e-06
G13,2025-03-11 12:00:00,sqrtA,5153.68821144
G13,2025-03-11 12:00:00,Toe,216000.0
G13,2025-03-11 12:00:00,Cic,1.9371509552e-07
G13,2025-03-11 12:00:00,Omega0,-0.87569102672
G13,2025-03-11 12:00:00,Cis,1.4528632164e-07
G13,2025-03-11 12:00:00,Io,0.973313810358
G13,2025-03-11 12:00:00,Crc,232.84375
G13,2025-03-11 12:00:00,omega,0.956819850816
G13,2025-03-11 12:00:00,OmegaDot,-7.98854704076e-09
G13,2025-03-11 12:00:00,IDOT,-2.46795994329e-10
G13,2025-03-11 12:00:00,CodesL2,1.0
G13,2025-03-11 12:00:00,GPSWeek,2357.0
G13,2025-03-11 12:00:00,L2Pflag,0.0
G13,2025-03-11 12:00:00,SVacc,2.0
G13,2025-03-11 12:00:00,health,0.0
G13,2025-03-11 12:00:00,TGD,-1.11758708954e-08
G13,2025-03-11 12:00:00,IODC,21.0
G13,2025-03-11 12:00:00,TransTime,208818.0
G13,2025-03-11 12:00:00,FitIntvl,4.0
G25,2025-03-11 12:00:00,SVclockBias,0.000493251252919
G25,2025-03-11 12:00:00,SVclockDrift,-9.09494701773e-13
G25,2025-03-11 12:00:00,SVclockDriftRate,0.0
G25,2025-03-11 12:00:00,IODE,45.0
G25,2025-03-11 12:00:00,Crs,32.5
G25,2025-03-11 12:00:00,DeltaN,5.25307595456e-09
G25,2025-03-11 12:00:00,M0,1.70336381265
G25,2025-03-11 12:00:00,Cuc,1.40257179737e-06
G25,2025-03-11 12:00:00,Eccentricity,0.0123663895065
G25,2025-03-11 12:00:00,Cus,5.3234398365e-06
G25,2025-03-11 12:00:00,sqrtA,5153.65096283
G25,2025-03-11 12:00:00,Toe,216000.0
G25,2025-03-11 12:00:00,Cic,-2.6635825634e-07
G25,2025-03-11 12:00:00,Omega0,1.05309969029
G25,2025-03-11 12:00:00,Cis,-2.10478901863e-07
G25,2025-03-11 12:00:00,Io,0.94864203196
G25,2025-03-11 12:00:00,Crc,271.125
G25,2025-03-11 12:00:00,omega,1.12061080978
G25,2025-03-11 12:00:00,OmegaDot,-8.40856453618e-09
G25,2025-03-11 12:00:00,IDOT,2.24295057075e-10
G25,2025-03-11 12:00:00,CodesL2,1.0
G25,2025-03-11 12:00:00,GPSWeek,2357.0
G25,2025-03-11 12:00:00,L2Pflag,0.0
G25,2025-03-11 12:00:00,SVacc,2.0
G25,2025-03-11 12:00:00,health,0.0
G25,2025-03-11 12:00:00,TGD,5.58793544769e-09
G25,2025-03-11 12:00:00,IODC,45.0
G25,2025-03-11 12:00:00,TransTime,208842.0
G25,2025-03-11 12:00:00,FitIntvl,4.0
G15,2025-03-11 12:00:00,SVclockBias,0.000272744335234
G15,2025-03-11 12:00:00,SVclockDrift,4.32009983342e-12
G15,2025-03-11 12:00:00,SVclockDriftRate,0.0
G15,2025-03-11 12:00:00,IODE,79.0
G15,2025-03-11 12:00:00,Crs,-110.625
G15,2025-03-11 12:00:00,DeltaN,5.04342436458e-09
G15,2025-03-11 12:00:00,M0,-1.95785630695
G15,2025-03-11 12:00:00,Cuc,-5.47431409359e-06
G15,2025-03-11 12:00:00,Eccentricity,0.0161541119451
G15,2025-03-11 12:00:00,Cus,3.88361513615e-06
G15,2025-03-11 12:00:00,sqrtA,5153.77643585
G15,2025-03-11 12:00:00,Toe,216000.0
G15,2025-03-11 12:00:00,Cic,3.27825546265e-07
G15,2025-03-11 12:00:00,Omega0,-1.18116673103
G15,2025-03-11 12:00:00,Cis,9.49949026108e-08
G15,2025-03-11 12:00:00,Io,0.938141064084
G15,2025-03-11 12:00:00,Crc,283.5625
G15,2025-03-11 12:00:00,omega,1.39742451545
G15,2025-03-11 12:00:00,OmegaDot,-8.31391773662e-09
G15,2025-03-11 12:00:00,IDOT,-1.75007289756e-10
G15,2025-03-11 12:00:00,CodesL2,1.0
G15,2025-03-11 12:00:00,GPSWeek,2357.0
G15,2025-03-11 12:00:00,L2Pflag,0.0
G15,2025-03-11 12:00:00,SVacc,2.0
G15,2025-03-11 12:00:00,health,0.0
G15,2025-03-11 12:00:00,TGD,-1.02445483208e-08
G15,2025-03-11 12:00:00,IODC,79.0
G15,2025-03-11 12:00:00,TransTime,211956.0
G15,2025-03-11 12:00:00,FitIntvl,4.0
G11,2025-03-11 12:00:00,SVclockBias,-0.000740889459848
G11,2025-03-11 12:00:00,SVclockDrift,3.52429196937e-12
G11,2025-03-11 12:00:00,SVclockDriftRate,0.0
G11,2025-03-11 12:00:00,IODE,116.0
G11,2025-03-11 12:00:00,Crs,97.8125
G11,2025-03-11 12:00:00,DeltaN,4.03981113149e-09
G11,2025-03-11 12:00:00,M0,-1.76788210165
G11,2025-03-11 12:00:00,Cuc,5.0775706768e-06
G11,2025-03-11 12:00:00,Eccentricity,0.00169863679912
G11,2025-03-11 12:00:00,Cus,1.06766819954e-05
G11,2025-03-11 12:00:00,sqrtA,5153.62866211
G11,2025-03-11 12:00:00,Toe,216000.0
G11,2025-03-11 12:00:00,Cic,4.842877388e-08
G11,2025-03-11 12:00:00,Omega0,-3.06888990994
G11,2025-03-11 12:00:00,Cis,-1.08033418655e-07
G11,2025-03-11 12:00:00,Io,0.966084772874
G11,2025-03-11 12:00:00,Crc,179.25
G11,2025-03-11 12:00:00,omega,-2.3428925389
G11,2025-03-11 12:00:00,OmegaDot,-7.78925302508e-09
G11,2025-03-11 12:00:00,IDOT,1.1321900174e-10
G11,2025-03-11 12:00:00,CodesL2,1.0
G11,2025-03-11 12:00:00,GPSWeek,2357.0
G11,2025-03-11 12:00:00,L2Pflag,0.0
G11,2025-03-11 12:00:00,SVacc,2.0
G11,2025-03-11 12:00:00,health,0.0
G11,2025-03-11 12:00:00,TGD,-8.84756445885e-09
G11,2025-03-11 12:00:00,IODC,116.0
G11,2025-03-11 12:00:00,TransTime,208818.0
G11,2025-03-11 12:00:00,FitIntvl,4.0
G29,2025-03-11 12:00:00,SVclockBias,-0.000529658515006
G29,2025-03-11 12:00:00,SVclockDrift,3.86535248253e-12
G29,2025-03-11 12:00:00,SVclockDriftRate,0.0
G29,2025-03-11 12:00:00,IODE,6.0
G29,2025-03-11 12:00:00,Crs,-29.03125
G29,2025-03-11 12:00:00,DeltaN,4.35875298813e-09
G29,2025-03-11 12:00:00,M0,-0.944381381069
G29,2025-03-11 12:00:00,Cuc,-1.5776604414e-06
G29,2025-03-11 12:00:00,Eccentricity,0.00306196394376
G29,2025-03-11 12:00:00,Cus,8.9704990387e-06
G29,2025-03-11 12:00:00,sqrtA,5153.68511009
G29,2025-03-11 12:00:00,Toe,216000.0
G29,2025-03-11 12:00:00,Cic,-1.15483999252e-07
G29,2025-03-11 12:00:00,Omega0,2.19675526779
G29,2025-03-11 12:00:00,Cis,-5.77419996262e-08
G29,2025-03-11 12:00:00,Io,0.966876562656
G29,2025-03-11 12:00:00,Crc,209.84375
G29,2025-03-11 12:00:00,omega,2.60959608941
G29,2025-03-11 12:00:00,OmegaDot,-7.90175771135e-09
G29,2025-03-11 12:00:00,IDOT,-5.92524681031e-10
G29,2025-03-11 12:00:00,CodesL2,1.0
G29,2025-03-11 12:00:00,GPSWeek,2357.0
G29,2025-03-11 12:00:00,L2Pflag,0.0
G29,2025-03-11 12:00:00,SVacc,2.0
G29,2025-03-11 12:00:00,health,0.0
G29,2025-03-11 12:00:00,TGD,-9.77888703346e-09
G29,2025-03-11 12:00:00,IODC,6.0
G29,2025-03-11 12:00:00,TransTime,213132.0
G29,2025-03-11 12:00:00,FitIntvl,4.0
